,name,categories,lat,lng,id,Stadtbezirk,Stadtteil
115,Altes Rathaus,Historic Site,52.37136127413828,9.736021757125854,4ba477c4f964a520f99e38e3,Mitte,Calenberger Neustadt
116,KUHnstWERK,Burger Joint,52.37093146997918,9.73770903263825,57ff4ec5d67c5a46ac50cd48,Mitte,Calenberger Neustadt
117,Neues Rathaus,City Hall,52.367335053857246,9.73738431930542,4b7e851af964a520aef02fe3,Mitte,Calenberger Neustadt
118,Café Konrad,Café,52.37242282587558,9.733716561616738,4b290f26f964a520f99724e3,Mitte,Calenberger Neustadt
119,Maschpark,Park,52.36642855096776,9.736933708190918,4bd1ab37462cb7132693da07,Mitte,Calenberger Neustadt
120,dean&david,Salad Place,52.37218098136091,9.73831143448726,521b46f111d242c07c72542e,Mitte,Calenberger Neustadt
121,Francesca & Fratelli,Pizza Place,52.36981865551878,9.724492408144082,5802a84cd67c1565be9385c2,Mitte,Calenberger Neustadt
122,Tandure,Turkish Restaurant,52.36749999923411,9.720787905244736,4ba10368f964a520e08e37e3,Mitte,Calenberger Neustadt
123,Ballhof Eins,Theater,52.37230124588068,9.73262071609497,4e0600dcae60a90eabbfb91f,Mitte,Calenberger Neustadt
124,Sushi Bar Gim,Sushi Restaurant,52.373147,9.724387,4b9a9b21f964a520bac535e3,Mitte,Calenberger Neustadt
125,Mi Pueblito Mexicano,Mexican Restaurant,52.37081431273319,9.726070761680603,4f5280b9e4b0ef967184c126,Mitte,Calenberger Neustadt
126,Waterloo Biergarten,Beer Garden,52.36838290358174,9.731641225706426,4baa4b1cf964a520de5b3ae3,Mitte,Calenberger Neustadt
127,Happy Döner,Doner Restaurant,52.367904,9.720646,4c9e0e0f0e9bb1f7301ae35f,Mitte,Calenberger Neustadt
128,Dublin Inn,Irish Pub,52.371122184057946,9.735469222068787,4bd451eca8b3a5933d896b5f,Mitte,Calenberger Neustadt
129,Eismanufaktur Frioli,Ice Cream Shop,52.368237950754725,9.71451954727639,4fd32c49e4b0aa9a72193183,Mitte,Calenberger Neustadt
130,Schateke,Pub,52.371657224206686,9.732820977255033,4bd07f3a462cb7135c73d807,Mitte,Calenberger Neustadt
131,New Saigon,Vietnamese Restaurant,52.373624,9.735344,4e0330f3aeb798576578a4f7,Mitte,Calenberger Neustadt
132,Cafe Glocksee,Rock Club,52.37169452964308,9.720481600131537,4b8aca51f964a520318132e3,Mitte,Calenberger Neustadt
133,Bronco's,Nightclub,52.36757972877005,9.719631532347766,4b6ddd1af964a520b5962ce3,Mitte,Calenberger Neustadt
134,GOP Varieté-Theater,Performing Arts Venue,52.37306099915645,9.739039576912536,4b85688ef964a520e45b31e3,Mitte,Calenberger Neustadt
135,Duke Burger,Burger Joint,52.376635759531375,9.729417822090154,56af9c12498eabd741b308b3,Mitte,Calenberger Neustadt
136,Machwitz Coffee Bar,Coffee Shop,52.37160333767138,9.737092097180225,4c4998703013a593ee93f1e2,Mitte,Calenberger Neustadt
137,Nanking,Chinese Restaurant,52.37623,9.72957,4ba22b05f964a520dbe037e3,Mitte,Calenberger Neustadt
138,Francesca & Fratelli,Pizza Place,52.37245498573143,9.736004948313548,56195737498e2a8bbb42a30b,Mitte,Calenberger Neustadt
139,MarktCafé,Café,52.367358391761904,9.71420131623745,4bb7174446d4a593d716c7c0,Mitte,Calenberger Neustadt
140,Brauhaus Ernst August,Brewery,52.373055,9.734606,4b79a40ef964a5209e072fe3,Mitte,Calenberger Neustadt
141,IhmeRauschen,Wine Bar,52.37074917542834,9.713406073404476,4bdc9e53c79cc928a36287e9,Mitte,Calenberger Neustadt
142,Seestern,Seafood Restaurant,52.37519490238478,9.737189972579749,4ddcf23ad22df17199097ea9,Mitte,Calenberger Neustadt
143,Jack the Ripper's,Irish Pub,52.374332,9.738075,4b773bdef964a520458a2ee3,Mitte,Calenberger Neustadt
144,Karadeniz Lokantasi,Turkish Restaurant,52.375102,9.733381,568e95b738fa7ef449f90be4,Mitte,Calenberger Neustadt
145,Lindener Marktplatz,Plaza,52.36705745467738,9.714531898498535,4cb981947148f04d73f0d6ab,Mitte,Calenberger Neustadt
146,COMIX,Comic Shop,52.37794417998371,9.732637311823938,4be51ac55254d13a277f60e1,Mitte,Calenberger Neustadt
147,11a,German Restaurant,52.370506570955015,9.713469414896228,4b8967caf964a520163332e3,Mitte,Calenberger Neustadt
148,Kröpcke,Plaza,52.37451081170728,9.738628256082164,4b7bf43ff964a52098752fe3,Mitte,Calenberger Neustadt
149,Ballhofplatz,Plaza,52.372586622865846,9.732649222580687,4f92eb55e4b03330a9eecee4,Mitte,Calenberger Neustadt
150,Oscar's Bar,Cocktail Bar,52.3715077677445,9.741151991948229,4b885c8df964a52019f231e3,Mitte,Calenberger Neustadt
151,Opernplatz,Plaza,52.3731803819112,9.740057463140577,4c823bccdc018cfa49f0cc6c,Mitte,Calenberger Neustadt
152,Broyhanhaus Hannover,German Restaurant,52.37177,9.734152,4d431a73f81e8cfaa27cfb56,Mitte,Calenberger Neustadt
153,Kenibo Ramen Bar,Ramen Restaurant,52.37179228375282,9.7331131073411,59f21555c9f9074b4f549537,Mitte,Calenberger Neustadt
154,WORMLAND Hannover,Men's Store,52.3741143,9.7376583,4be8015188ed2d7f664ccb1d,Mitte,Calenberger Neustadt
155,und der böse Wolf,Pub,52.36761853691269,9.715712070465088,4b56ec67f964a5206c1f28e3,Mitte,Calenberger Neustadt
156,MOCA,Coffee Shop,52.37725773950719,9.732451582596761,4bd56f545631c9b6e206a430,Mitte,Calenberger Neustadt
157,Erol Bäckerei & Imbiss,Falafel Restaurant,52.37641155256589,9.729733147034322,4b754bfff964a520fa042ee3,Mitte,Calenberger Neustadt
158,LUX,Nightclub,52.368071047546394,9.720461034749906,5091785ee4b0e6b4437d2d5a,Mitte,Calenberger Neustadt
159,Café Safran,Café,52.3740931599467,9.718944665439366,4b81a131f964a520e4b330e3,Mitte,Calenberger Neustadt
160,Lindener Lehmofen,Turkish Restaurant,52.36688907014812,9.716190365534846,4f54b49be4b0195da64dd2f5,Mitte,Calenberger Neustadt
161,Urfa Sofrasi,Turkish Restaurant,52.37598825,9.73392364,4fe5d879e4b067dfbe50edff,Mitte,Calenberger Neustadt
162,Pho 3 Mien,Vietnamese Restaurant,52.378459869030905,9.733854194030503,4d7c83f76b0dcbff3c39b989,Mitte,Calenberger Neustadt
163,Nespresso Boutique,Coffee Shop,52.37245314314598,9.74008434121361,4d6d13da125eb60c92f92f4e,Mitte,Calenberger Neustadt
164,V17,Coffee Shop,52.364049,9.717476,5603e76b498e2c9abda720e7,Mitte,Calenberger Neustadt
165,i.SHOP,Grocery Store,52.37657352467039,9.736828536215208,4e303bd914953296330c56b2,Mitte,Calenberger Neustadt
